,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,8976"
bij,bee ,3,9,15,20,15,13,16,15,6,20,20,18,19,20,20,20,20,15,14,20,19,10,18,16,12,20,16,12,15.75,4.599718188,28,,
bloedzuiger,leech,20,9,20,15,3,11,11,8,2,10,10,7,20,20,1,11,1,15,19,1,7,19,1,10,10,9,19,3,10.42857143,6.669047194,28,,
daas,horsefly,20,-1,20,16,8,20,18,11,17,6,20,15,20,20,20,18,8,19,14,16,19,1,18,15,16,5,19,1,14.81481481,6.025822874,27,,
duizendpoot,centipede,3,13,10,14,11,16,8,9,10,3,1,12,19,20,1,2,12,10,17,14,17,20,1,3,14,15,10,15,10.71428571,6.011452914,28,,
fruitvlieg,fruit fly,1,10,15,17,12,17,18,10,1,9,20,4,19,20,20,13,17,20,17,5,18,18,2,19,12,18,17,15,13.71428571,6.181556455,28,,
hommel,bumblebee,1,9,13,20,15,13,16,18,18,20,20,12,19,20,20,19,18,15,12,20,19,5,16,16,12,12,19,13,15.35714286,4.793624514,28,,
kakkerlak,cockroach,1,17,17,13,18,18,11,5,20,1,10,16,19,20,20,15,10,19,20,17,17,10,16,3,10,5,18,1,13.10714286,6.465516998,28,,
kever,beetle,3,10,20,14,17,20,10,12,16,6,10,13,19,20,20,16,9,16,16,20,17,8,18,8,16,16,14,13,14.17857143,4.706603489,28,,
krekel,cricket,1,5,20,14,16,16,12,12,19,10,10,10,19,20,20,8,16,8,18,20,13,5,14,14,14,12,15,4,13.03571429,5.308847562,28,,
libel,dragonfly,20,16,17,20,7,13,14,12,20,12,20,9,20,20,20,16,8,12,13,20,14,18,14,17,14,12,19,2,14.96428571,4.717831759,28,,
lieveheersbeestje,ladybug,2,10,10,16,15,17,15,14,10,13,16,1,19,20,20,13,20,7,16,14,10,1,18,16,5,19,4,12,12.60714286,5.864767911,28,,
luis,louse,2,4,19,14,7,14,5,6,11,1,10,9,20,20,10,2,13,8,13,4,5,4,1,1,8,14,17,5,8.821428571,5.919544348,28,,
meikever,cockchafer,1,10,17,15,17,18,15,6,17,15,20,13,20,20,20,15,9,16,18,20,17,2,16,8,16,3,11,5,13.57142857,5.852688976,28,,
mier,ant,1,16,18,14,15,20,12,20,20,18,16,17,20,20,20,9,13,15,17,1,15,18,18,5,18,19,19,18,15.42857143,5.384673527,28,,
mot,moth,15,12,15,20,9,20,8,12,3,6,20,8,19,20,20,15,11,10,13,17,14,10,10,18,8,18,19,6,13.42857143,5.138298979,28,,
mug,mosquito,20,16,15,20,9,20,18,20,20,20,20,18,20,20,20,16,20,18,15,16,5,20,14,20,16,20,18,20,17.64285714,3.633326052,28,,
oorworm,earwig,2,12,10,15,14,16,16,2,2,1,1,5,14,6,10,2,1,19,19,1,13,18,1,5,12,10,8,1,8.428571429,6.425807754,28,,
pissebed,wood louse,15,17,20,17,13,16,11,7,12,6,10,8,20,20,20,13,10,19,20,13,19,11,16,3,19,17,19,17,14.57142857,4.879500365,28,,
rups,caterpillar,2,13,10,15,8,16,7,9,18,1,1,9,20,20,20,5,17,14,18,11,16,11,1,5,10,18,10,10,11.25,6.065231821,28,,
spin,spider,3,1,19,5,5,19,5,16,17,1,1,1,20,18,1,1,1,1,1,17,1,8,1,3,18,20,18,18,8.571428571,8.080284976,28,,
sprinkhaan,grasshopper,1,5,20,20,16,16,14,13,20,7,20,14,19,20,20,11,16,15,18,20,12,5,16,12,10,12,10,8,13.92857143,5.374346275,28,,
vlieg,fly,3,19,15,20,13,20,16,15,20,20,20,20,20,20,20,19,20,20,17,1,18,15,20,20,12,20,18,18,17.10714286,4.878822609,28,,
vlinder,butterfly,1,15,10,19,11,10,14,15,3,14,10,2,19,20,20,6,20,8,14,16,15,1,14,15,3,15,10,16,12,5.950412373,28,,
vlo,flee,4,7,19,15,7,14,6,1,4,3,10,13,20,14,10,1,15,8,12,8,5,20,1,5,6,17,17,1,9.392857143,6.136347603,28,,
wesp,wasp,3,9,20,20,14,13,17,19,20,20,20,16,20,20,20,17,20,15,12,20,18,18,18,16,12,17,19,12,16.60714286,4.139594592,28,,
worm,worm,2,14,10,14,3,16,7,9,5,1,1,2,19,20,1,2,14,1,12,1,16,20,1,3,12,18,9,4,8.464285714,6.817635861,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
