,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9003"
acteur,actor,10,12,12,5,14,12,9,20,6,13,9,10,13,16,8,6,5,6,4,5,14,5,18,20,14,10,9,20,10.89285714,4.893981835,28,,
advocaat,lawyer,19,20,14,18,19,15,15,20,17,15,18,20,17,20,20,14,15,10,19,19,17,16,4,14,16,19,15,20,16.60714286,3.54170168,28,,
apotheker,pharmacist,20,20,14,16,17,16,18,18,15,13,13,20,18,20,6,15,10,12,11,20,13,17,8,10,11,13,12,20,14.85714286,4.006608298,28,,
archeoloog,archaeologist,10,10,9,15,16,18,16,16,6,12,11,10,14,20,12,5,8,10,12,20,14,10,8,3,13,14,2,20,11.92857143,4.814550257,28,,
architect,architect,17,20,15,18,18,18,15,20,14,15,18,20,15,20,8,11,9,10,14,20,16,17,8,9,11,10,7,20,14.75,4.351457823,28,,
bakker,baker,20,20,19,13,18,20,16,20,14,15,11,20,18,20,18,15,19,16,19,14,16,17,16,20,16,19,5,20,16.92857143,3.431105765,28,,
boekhouder,accountant,15,10,12,14,18,12,16,20,14,15,12,8,17,20,10,11,14,10,15,17,20,17,6,12,10,13,12,20,13.92857143,3.790129202,28,,
brandweerman,fireman,19,15,10,13,18,20,18,20,18,10,15,20,16,20,12,7,14,7,16,20,17,10,18,10,18,19,5,20,15.17857143,4.611206731,28,,
dierenarts,veterinarian,20,20,17,13,18,19,18,20,16,15,16,20,18,20,17,11,18,10,13,20,16,18,9,8,14,14,12,20,16.07142857,3.650759144,28,,
directeur,manager,15,5,12,20,17,14,18,20,12,15,18,15,14,20,18,14,5,9,18,20,15,11,3,6,15,9,11,20,13.89285714,5.020987698,28,,
dokter,doctor,20,20,15,15,18,19,18,20,18,15,19,20,16,20,20,17,16,16,18,20,17,17,18,20,16,20,16,20,18,1.845916414,28,,
informaticus,information scientist,10,15,10,18,17,12,13,18,12,13,13,18,13,20,7,5,8,9,16,15,10,11,10,8,10,12,7,20,12.5,4.096068576,28,,
kinesist,physiotherapist,10,18,16,10,18,19,16,20,14,14,15,20,17,20,15,9,14,10,16,17,12,17,9,1,12,12,5,20,14.14285714,4.71965383,28,,
kok,cook,10,20,17,13,16,20,12,20,12,16,12,20,15,20,7,12,12,14,17,11,16,17,15,20,18,17,8,20,15.25,3.874178527,28,,
leraar,teacher,20,15,15,7,18,15,17,20,16,14,10,20,18,20,20,19,10,15,18,19,17,15,14,20,16,16,16,20,16.42857143,3.360209114,28,,
loodgieter,plumber,20,20,17,10,18,18,18,20,17,15,15,20,18,20,12,14,19,12,11,19,11,17,8,18,12,19,13,20,16.10714286,3.644775924,28,,
marktkramer,stallholder,19,10,10,3,14,5,12,20,6,12,10,15,17,20,5,4,8,11,10,15,9,16,2,1,17,13,5,20,11.03571429,5.757327974,28,,
minister,minister,19,10,9,15,14,9,14,12,6,16,5,11,12,16,18,11,12,8,7,7,13,6,8,5,12,12,12,16,11.25,3.902753064,28,,
opvoedster,educator,10,15,12,10,17,14,17,10,6,10,11,7,15,20,10,13,16,8,14,19,16,13,7,6,8,12,15,20,12.53571429,4.140872541,28,,
piloot,pilot,19,12,12,16,18,19,18,20,18,14,13,16,15,20,20,16,19,10,9,15,12,17,15,20,18,13,6,20,15.71428571,3.750132273,28,,
politieagent,police officer,20,20,18,13,19,14,18,20,18,14,15,20,18,20,12,17,17,14,13,19,17,18,18,19,17,15,13,20,17,2.581988897,28,,
postbode,postman,20,20,19,5,16,12,15,20,12,12,9,15,16,20,20,16,17,16,12,18,12,17,8,18,16,19,6,20,15.21428571,4.39997595,28,,
psycholoog,psychologist,10,10,13,18,17,15,16,17,6,13,13,10,16,20,10,13,11,12,12,20,20,10,9,14,10,9,17,20,13.60714286,3.956609901,28,,
rechter,judge,15,20,10,18,19,10,15,12,14,14,16,15,15,20,6,10,15,10,13,19,16,17,5,14,15,17,4,20,14.07142857,4.387934395,28,,
secretaresse,secretary,15,20,18,10,19,9,15,17,18,10,13,20,18,20,15,13,9,13,16,17,13,14,15,14,15,18,16,20,15.35714286,3.324591712,28,,
slager,butcher,20,15,17,5,17,9,14,20,12,15,9,20,18,20,20,15,20,16,14,18,10,17,11,10,12,19,4,20,14.89285714,4.716710135,28,,
stewardess,stewardess,10,15,15,5,17,15,15,17,14,13,14,14,16,20,10,16,9,11,8,12,8,15,14,2,12,16,5,20,12.78571429,4.38310851,28,,
tandarts,dentist,20,20,17,15,18,19,17,20,18,16,17,16,17,20,15,14,16,10,14,20,14,17,15,20,18,14,11,20,16.71428571,2.746811523,28,,
vuilnisman,garbage collector,-1,20,19,2,18,9,14,15,12,11,6,8,14,20,10,10,20,10,9,14,10,16,6,12,16,19,5,20,12.77777778,5.183801199,27,,
winkelbediende,shop-assistant,-1,5,17,4,18,16,14,12,14,11,7,10,18,20,14,16,6,16,6,14,12,16,9,14,14,9,11,20,12.7037037,4.530366047,27,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
