,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9576",,
aambeeld,anvil,4,10,8,5,9,10,12,4,18,1,11,-1,11,10,-1,1,15,15,15,10,6,3,6,15,15,16,9.583333333,4.986212876,24,,,,
beitel,chisel,15,20,10,12,20,20,18,12,20,12,20,20,16,20,16,15,20,19,16,15,11,16,17,13,20,15,16.46153846,3.313376154,26,,,,
bijl,axe,18,18,17,15,20,20,18,8,20,20,6,20,18,20,17,10,20,17,9,10,18,9,18,15,20,18,16.11538462,4.448162974,26,,,,
boormachine,drill,10,20,17,17,20,20,18,15,20,16,18,20,18,20,20,15,20,19,15,20,20,16,19,16,20,18,17.96153846,2.45732813,26,,,,
breekijzer,crowbar,12,9,14,12,20,20,18,3,20,10,11,20,15,-1,10,2,15,9,15,19,16,4,7,19,17,15,13.28,5.503937984,25,,,,
engelse sleutel,spanner,-1,20,13,12,20,20,16,10,-1,17,7,20,14,20,17,10,20,19,20,17,19,18,13,16,20,17,16.45833333,3.844580224,24,,,,
grasmachine,lawn mower,5,3,15,1,9,20,16,1,20,7,3,20,10,10,7,5,5,16,4,13,10,9,3,16,20,1,9.576923077,6.506446507,26,,,,
hamer,hammer,18,20,15,18,20,20,18,16,20,15,20,20,19,20,20,15,20,19,20,19,18,20,17,18,20,19,18.61538462,1.72225255,26,,,,
houtklem,clamp,6,18,12,5,20,20,16,6,15,1,18,16,8,-1,2,5,20,19,11,10,8,3,7,-1,20,14,11.66666667,6.438111164,24,,,,
houweel,pickaxe,12,18,10,12,12,20,18,10,-1,20,17,16,8,20,16,1,20,19,10,18,14,10,-1,17,20,5,14.29166667,5.270749197,24,,,,
koevoet,crowbar,12,16,10,12,9,-1,16,4,20,5,10,20,12,10,10,15,20,10,15,15,14,4,8,17,20,14,12.72,4.817675788,25,,,,
kruiwagen,wheelbarrow,5,20,15,1,15,20,17,12,15,1,10,20,10,10,9,5,10,17,1,10,16,16,17,17,20,8,12.19230769,6.066427158,26,,,,
mes,knife,12,15,12,1,9,10,18,1,10,1,3,18,14,10,5,2,15,13,18,5,4,3,14,14,17,18,10.07692308,6.039358091,26,,,,
moersleutel,wrench,15,20,13,15,20,20,16,14,15,15,17,20,17,20,17,10,20,19,16,15,18,18,9,16,20,18,16.65384615,3.019169524,26,,,,
oliespuit,oilcan,7,4,10,1,9,10,14,6,20,1,2,11,10,14,12,3,5,19,10,7,11,3,9,11,20,8,9.115384615,5.383879071,26,,,,
plamuurmes,filling-knife,8,16,12,1,14,10,17,9,20,1,8,20,16,-1,16,10,20,19,17,15,9,7,-1,15,20,16,13.16666667,5.646597026,24,,,,
ploeg,plough,8,16,14,12,20,20,19,1,20,13,5,17,15,18,20,1,20,19,10,15,16,6,14,16,20,15,14.23076923,5.812453474,26,,,,
schaaf,plane,7,10,10,1,13,20,19,11,-1,10,5,20,18,-1,-1,10,15,19,17,10,1,4,-1,13,20,14,12.13636364,6.041881247,22,,,,
schop,shovel,14,20,18,8,16,20,18,15,20,20,18,20,13,15,15,5,20,19,17,15,16,18,14,17,20,11,16.23076923,3.839871793,26,,,,
schroevendraaier,screwdriver,18,20,15,15,20,20,19,13,20,7,19,20,19,20,16,18,20,19,19,18,17,20,16,16,20,19,17.80769231,2.953225095,26,,,,
slijpschijf,grinding disc,10,14,18,10,20,20,18,10,20,12,19,20,17,15,15,5,20,19,10,17,14,6,9,16,20,19,15.11538462,4.70171818,26,,,,
spijker,nail,4,5,12,5,5,10,2,16,15,6,10,13,12,12,8,2,5,17,19,10,8,17,8,8,15,18,10.07692308,5.082700675,26,,,,
staalborstel,wire brush,8,10,10,5,13,20,16,8,10,15,4,20,6,-1,10,10,10,19,15,10,8,6,-1,-1,20,8,11.34782609,4.969074321,23,,,,
stofzuiger,vacuum cleaner,3,8,10,1,9,10,17,1,15,1,1,14,6,5,2,1,1,10,12,1,10,1,1,9,15,1,6.346153846,5.447511782,26,,,,
tang,tongs,17,20,15,15,20,20,19,12,20,8,20,20,19,20,14,8,20,19,16,19,20,15,13,18,20,12,16.88461538,3.777056241,26,,,,
touw,rope,1,1,8,1,9,10,14,2,15,3,4,7,10,5,8,2,15,14,6,5,4,3,3,10,12,5,6.807692308,4.560870362,26,,,,
verfborstel,paintbrush,8,14,10,1,12,20,16,5,15,1,11,19,5,12,16,5,5,19,5,15,18,9,3,14,17,12,11.03846154,5.84794507,26,,,,
vijl,file,15,10,8,5,20,20,15,11,18,2,2,11,7,16,8,10,15,8,6,10,6,10,9,12,15,11,10.76923077,4.893323552,26,,,,
waterpas,level,11,20,9,5,17,10,18,11,20,10,6,11,10,10,15,5,15,19,19,10,10,12,7,13,15,17,12.5,4.597825573,26,,,,
zaag,saw,18,20,13,18,20,20,19,14,20,17,20,20,19,20,18,15,20,19,20,20,14,17,15,15,20,16,17.96153846,2.34061136,26,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
