,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9779",,
auto,car,20,20,20,19,20,20,20,20,20,20,20,20,20,20,16,20,20,19,20,20,20,19,20,20,20,20,19.73076923,0.827414881,26,,,,
boot,boat,15,6,17,11,20,20,20,10,10,20,15,1,20,18,16,19,4,12,12,18,2,17,20,15,18,7,13.96153846,5.963091609,26,,,,
bromfiets,scooter,18,15,19,13,20,20,20,15,15,10,18,10,20,20,14,20,18,18,19,20,14,18,20,18,20,14,17.15384615,3.145693026,26,,,,
brommer,motorbike,18,15,19,14,20,20,20,20,20,10,20,20,20,20,15,20,20,18,19,20,16,18,20,18,20,12,18.15384615,2.79560094,26,,,,
bus,bus,20,18,20,17,20,20,20,20,20,15,19,20,20,20,15,20,18,18,19,20,18,18,20,19,18,20,18.92307692,1.494605685,26,,,,
camion,truck,18,20,19,16,20,20,20,20,20,15,17,20,-1,17,13,18,10,18,16,20,17,18,20,16,20,4,17.28,3.747443573,25,,,,
camionette,van,20,19,19,15,20,20,20,20,20,16,16,20,20,16,13,18,15,19,19,20,18,18,20,17,20,20,18.38461538,2.041115834,26,,,,
caravan,trailer ,18,1,10,12,5,10,5,20,15,12,14,5,6,15,12,11,1,1,15,17,1,14,16,9,9,5,9.961538462,5.695477288,26,,,,
duikboot,submarine,15,2,15,1,15,17,20,10,1,3,6,10,10,7,13,3,1,12,5,18,1,14,20,8,8,2,9.115384615,6.339254991,26,,,,
fiets,bicycle,19,12,20,12,20,20,20,10,15,20,19,5,20,20,16,16,18,10,19,20,15,19,12,19,12,11,16.11538462,4.292569609,26,,,,
gocart,go-cart,18,5,5,9,10,19,10,15,5,7,5,12,-1,5,12,5,1,5,14,18,4,16,10,7,7,6,9.2,5.057996968,25,,,,
helikopter,helicopter,15,4,17,11,20,20,20,12,10,20,15,10,17,17,14,20,3,10,15,20,2,16,19,15,14,17,14.34615385,5.321220219,26,,,,
hovercraft,hovercraft,20,6,5,5,20,18,20,10,10,1,2,4,16,10,14,15,5,12,-1,-1,2,16,18,5,14,5,10.54166667,6.39278919,24,,,,
jeep,jeep,20,16,19,17,20,20,20,20,20,20,16,20,20,20,16,20,19,18,20,20,20,18,20,18,20,20,19.11538462,1.42343031,26,,,,
kar,cart,15,5,5,10,15,9,10,10,10,8,14,5,6,10,9,3,2,3,14,16,1,16,8,9,5,10,8.769230769,4.402796314,26,,,,
koets,carriage,15,8,10,5,15,18,10,17,10,8,12,20,9,15,13,8,10,17,8,20,11,16,20,9,5,16,12.5,4.597825573,26,,,,
luchtballon,(hot air) balloon,15,4,5,7,10,17,10,10,5,8,2,3,1,10,12,14,4,9,2,14,1,16,12,3,6,2,7.769230769,4.998461302,26,,,,
metrostel,subway train,20,17,19,18,15,9,20,15,10,15,-1,20,20,18,16,19,10,18,19,20,10,18,18,16,4,20,16.16,4.317406629,25,,,,
moto,motorbike,19,16,19,13,20,20,20,18,10,20,20,10,20,18,16,20,20,18,19,20,17,18,20,18,20,16,17.88461538,2.916531132,26,,,,
raket,rocket,15,3,5,9,18,13,20,1,10,1,1,1,1,3,16,2,4,5,1,10,1,15,10,6,9,5,7.115384615,6.002179091,26,,,,
skateboard,skateboard,12,2,5,5,10,17,10,8,1,8,4,8,6,10,10,4,2,3,14,18,4,16,12,5,16,8,8.384615385,4.956425511,26,,,,
slede,sled,12,1,5,4,5,17,10,1,5,3,8,6,13,12,10,3,2,3,15,16,2,15,12,8,3,4,7.5,5.100980298,26,,,,
step,kick scooter,12,2,5,8,15,17,5,5,10,2,7,15,15,16,12,6,1,5,14,18,4,17,12,10,12,5,9.615384615,5.292084074,26,,,,
taxi,taxi,20,18,17,12,20,20,20,20,15,20,18,20,20,20,16,20,20,18,20,20,19,18,20,19,20,20,18.84615385,1.973672874,26,,,,
tractor,tractor,18,5,7,10,15,19,20,18,15,8,13,20,13,5,9,15,4,17,15,16,11,15,10,15,12,7,12.76923077,4.802563418,26,,,,
tram,tram,20,17,19,18,20,20,20,12,20,15,19,8,20,18,16,20,18,18,19,20,11,18,18,16,18,20,17.61538462,3.0864468,26,,,,
trein,train,20,17,20,14,20,20,20,15,20,15,20,20,20,20,16,20,18,18,19,20,11,18,20,20,16,20,18.34615385,2.44854745,26,,,,
vliegtuig,airplane,18,10,17,13,20,20,20,17,10,20,16,4,20,19,16,20,10,12,15,20,1,18,20,20,16,15,15.65384615,5.153191692,26,,,,
vrachtwagen,truck,20,20,19,13,20,20,20,20,20,15,17,20,20,17,12,18,14,18,19,20,17,18,20,17,20,18,18.15384615,2.361225236,26,,,,
zeppelin,Zeppelin,15,4,10,4,10,14,20,10,5,1,3,5,16,10,10,8,5,12,2,14,1,14,17,10,8,2,8.846153846,5.371720824,26,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,

