Variable,Label
moa1#1_1,imp_financialindependence
moa1#1_2,imp_nolongerhom
moa1#1_3,imp_finishededucation
moa1#1_4,imp_married
moa1#1_5,imp_havechild
moa1#1_6,imp_settledcareer
moa1#1_7,imp_avoiddrunk
moa1#1_8,imp_avoiddrugs
moa1#1_9,imp_usecontraception
moa1#1_10,imp_committedlongterm
moa1#2_1,ach_financialindependence
moa1#2_2,ach_nolongerhome
moa1#2_3,ach_finishededucation
moa1#2_4,ach_married
moa1#2_5,ach_havechild
moa1#2_6,ach_settledcareer
moa1#2_7,ach_avoiddrunk
moa1#2_8,ach_avoiddrugs
moa1#2_9,ach_usecontraception
moa1#2_10,ach_committedlongterm
moa2#1_1,imp_indepedentdecisions
moa2#1_2,imp_supportfamily
moa2#1_3,imp_carechildren
moa2#1_4,imp_acceptresponsibility
moa2#1_5,imp_employfulltime
moa2#1_6,imp_avoiddrunkdriving
moa2#1_7,imp_parentasequal
moa2#1_8,imp_emotionalcontrol
moa2#1_9,imp_considerothers
moa2#1_10,imp_supportparentsfinance
moa2#2_1,achi_independentdecisions
moa2#2_2,ach_supportfamily
moa2#2_3,ach_carechildren
moa2#2_4,ach_acceptresponsibility
moa2#2_5,ach_employfulltime
moa2#2_6,ach_avoiddrunkdriving
moa2#2_7,ach_parentasequal
moa2#2_8,ach_emotionalcontrol
moa2#2_9,ach_considerothers
moa2#2_10,ach_supportparentsfinances
IDEA_1,IDEA-manypossibility
IDEA_2,IDEA-exploration
IDEA_3,IDEA-stressed
IDEA_4,IDEA-highpressure
IDEA_5,IDEA-definingself
IDEA_6,IDEA-beliefsvalues
IDEA_7,IDEA-someways
IDEA_8,IDEA-graduallyadult
swb_1,SWB-ideal
swb_2,SWB-excellent
swb_3,SWB-satisfied
swb_4,SWB-important
swb_5,SWB-changenothing
swb_6,SWB-highselfesteem
mindful_1,MIND-emotnotconscious
mindful_2,MIND-breakspill
mindful_3,MIND-difficultfocus
mindful_4,MIND-walknoattention
mindful_5,MIND-notnoticetension
mindful_6,MIND-forgetnames
mindful_7,MIND-runautomatic
mindful_8,MIND-rushactivities
mindful_9,MIND-goalfocus
mindful_10,MIND-jobautomatically
mindful_11,MIND-listensametime
mindful_12,MIND-driveautomatic
mindful_13,MIND-preoccupied
mindful_14,MIND-withoutpayattention
mindful_15,MIND-snackunaware
belong_1,Belong_nobother
belong_2,Belong_avoidrejection
belong_3,Belong_seldomworry
belong_4,Belong_needpeople
belong_5,Belong_othersacceptme
belong_6,Belong_notalone
belong_7,Belong_OKalone
belong_8,Belong_strongNEED
belong_9,Belong_bothernotinplans
belong_10,Belong_feelingseasilyhurt
belnow,BELONG-feelIbelong
efficacy_1,EFF-solvetryhard
efficacy_2,EFF-getwhatwant
efficacy_3,EFF-stick2goals
efficacy_4,EFF-dealunexpected
efficacy_5,EFF-resourceful
efficacy_6,EFF-solvenecesseffort
efficacy_7,EFF-remaincalm
efficacy_8,EFF-findseveralsolutions
efficacy_9,EFF-thinkofsolution
efficacy_10,EFF-whatevercomesmyway
support_1,SUP-specialforneed
support_2,SUP-specialjoysorry.
support_3,SUP-familyhelp
support_4,SUP-familyemotionalhelp
support_5,SUP-specialcomfort
support_6,SUP-friendshelp
support_7,SUP-countonfriends
support_8,SUP-talkfamily
support_9,SUP-friendsjoysorrow
support_10,SUP-specialcaresfeelings
support_11,SUP-familyhelpdecisions
support_12,SUP-friendstalkproblems
SocMedia_1,SocMed-avoiddrifting
SocMedia_2,SocMed-friendsplanstonight
SocMedia_3,SocMed-friendsintouch
SocMedia_4,SocMed-friendsupto
SocMedia_5,SocMed-Reconnectwithpeople
SocMedia_6,SocMed-Findoutmore
SocMedia_7,SocMed-someonetoknowbetter
SocMedia_8,SocMed-makenewfriends
SocMedia_9,SocMed-getintouch
SocMedia_10,SocMed-getinformation
SocMedia_11,SocMed-shareinformation
usdream_1,AmDreamImport
usdream_2,AmDreamAchieve
usdream_3,attentionchechshould be1
transgres_1,trangress-lietoyou
transgres_2,transgress-rumors
transgres_3,transgress-goteven
transgres_4,transgress-degraded
NPI1,NPI1
NPI2,NPI2
NPI3,NPI3
NPI4,NPI4
NPI5,NPI5
NPI6,NPI6
NPI7,NPI7
NPI8,NPI8
NPI9,NPI9
NPI10,NPI10
NPI11,NPI11
NPI12,NPI12
NPI13,NPI13
exploit_1,EXP-benefitfromothers
exploit_2,EXP-profitfromothers
exploit_3,EXP-usingothers
POQ1,DISID-disabilityinterferes
POQ2,DISID-dontthinkdisabled
POQ3,DISID-lackconfidence
POQ4,DISID-proudtobedisabled
POQ5,DISID-ashamed
POQ6,DISID-notreducedenjoy
POQ7,DISID-limitedfriendships
POQ8,DISID-sourcestrength
POQ9,DISID-accomplishmore
POQ10,DISID-notaproblem
POQ11,DISID-normallife
POQ12,DISID-betterperson
POQ13,DISID-importantpart
POQ14,DISID-proudofdisability
POQ15,DISID-disabilityenriches
physSx_1,Phys_stomach
physSx_2,Phys-back
physSx_3,Phys-appendages
physSx_4,Phys-headaches
physSx_5,Phys-chest
physSx_6,Phys-dizziness
physSx_7,Phys-fainting
physSx_8,Phys-heartpound
physSx_9,Phys-shortness
physSx_10,Phys-constipation
physSx_11,Phys-nausea
physSx_12,Phys-tired
physSx_13,Phys-troublesleeping
stress_1,stress-beenupset
stress_2,stress-unablecontrol
stress_3,stress-nervous
stress_4,stress-confident
stress_5,stress-goingmyway
stress_6,stress-couldnotcope
stress_7,stress-controlirritations
stress_8,stress-ontopofthings
stress_9,stress-beenangered
stress_10,stress-feltdifficulties
Variables in the working file,
