,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9787"
beha,bra,20,12,10,20,15,18,20,11,14,19,15,20,8,20,10,17,8,17,14,16,8,17,20,5,18,20,20,15,15.25,4.591659105,28,,
bloes,blouse,20,16,20,20,20,15,20,11,18,20,17,18,18,20,20,18,19,20,20,20,20,20,20,17,20,20,20,15,18.64285714,2.197882579,28,,
broek,pants,20,16,20,20,20,17,20,20,20,20,19,20,19,20,20,20,19,20,20,20,20,20,20,16,20,20,20,17,19.39285714,1.257254084,28,,
das,tie,18,6,10,18,16,14,13,11,11,19,13,9,7,20,10,7,9,14,7,12,3,14,16,4,11,12,20,2,11.64285714,5.005288209,28,,
hemd,shirt,20,16,20,20,20,16,20,19,14,20,18,20,19,20,20,20,19,20,20,20,20,20,20,18,20,20,20,14,19.03571429,1.815206199,28,,
hoed,hat,18,10,10,16,12,11,12,10,6,17,6,17,3,17,10,7,3,14,11,12,6,17,16,14,10,12,20,14,11.82142857,4.554635989,28,,
jas,coat,20,16,20,20,20,16,18,20,18,20,19,20,19,20,20,19,19,20,16,18,20,20,20,7,20,20,20,18,18.67857143,2.6394945,28,,
jeans,jeans,20,17,20,20,20,18,20,17,20,20,19,20,19,20,20,19,19,20,20,20,20,20,20,16,20,20,20,19,19.39285714,1.100144291,28,,
jogging,tracksuit,20,14,20,20,20,16,20,13,14,20,13,20,13,20,20,12,17,18,17,18,20,20,20,8,20,20,20,12,17.32142857,3.507173299,28,,
kleed,dress,20,16,20,20,20,16,20,15,17,20,17,20,1,20,20,16,20,-1,16,20,18,20,20,18,20,20,20,5,17.59259259,4.576354438,27,,
kostuum,suit,20,17,20,20,20,15,20,18,10,20,19,17,20,20,20,15,20,20,20,20,20,20,20,13,20,20,20,13,18.46428571,2.755225915,28,,
laarzen,boots,19,6,10,16,10,9,13,11,7,19,15,14,4,20,1,14,11,18,11,16,8,14,16,2,15,12,20,8,12.10714286,5.230532058,28,,
muts,beanie,17,6,10,16,15,13,13,11,9,19,13,15,7,20,1,12,3,14,12,12,2,13,16,2,15,12,20,8,11.64285714,5.299995008,28,,
pet,cap,18,9,10,16,13,11,12,9,5,18,3,20,2,17,1,11,3,14,4,10,2,15,18,1,15,12,20,4,10.46428571,6.215167486,28,,
pyjama,pyjamas,20,7,20,20,20,7,20,15,3,18,14,12,12,20,5,16,19,19,4,8,15,17,20,7,18,20,20,17,14.75,5.796710434,28,,
riem,belt,18,9,10,16,15,13,11,11,4,19,4,8,1,20,10,12,3,14,4,13,7,17,16,5,17,12,20,2,11.10714286,5.743526377,28,,
rok,skirt,20,16,20,20,20,14,20,20,17,20,19,20,19,20,20,16,19,20,18,19,20,20,20,14,20,20,20,15,18.78571429,1.969341737,28,,
salopet,dungarees,20,14,20,20,20,-1,20,11,1,20,11,20,16,20,20,8,17,-1,14,20,20,20,20,11,20,12,20,3,16.07692308,5.649234121,26,,
schoenen,shoes,19,6,10,16,12,11,13,11,5,19,15,14,4,20,14,18,12,18,7,19,9,14,16,6,15,12,20,18,13.32142857,4.800104717,28,,
short,shorts,20,14,20,20,20,18,20,16,16,20,16,20,15,20,20,15,12,20,19,17,20,20,20,13,20,20,20,5,17.71428571,3.547112993,28,,
sjaal,scarf,17,9,10,18,14,9,11,14,8,18,6,20,2,20,1,12,3,14,2,12,4,13,18,4,16,12,20,6,11.17857143,6.012663004,28,,
slip,panties,20,15,10,20,19,14,20,11,6,19,12,20,3,20,1,18,8,17,15,18,5,17,20,15,19,20,20,14,14.85714286,5.758821161,28,,
sokken,socks,20,9,10,18,20,17,20,9,6,20,16,20,7,20,20,19,8,17,12,17,12,20,20,3,20,20,20,14,15.5,5.392038026,28,,
sweater,sweater,20,17,20,20,20,18,20,10,15,20,19,20,18,20,20,20,17,20,20,19,20,20,20,16,20,20,20,19,18.85714286,2.223015731,28,,
t-shirt,t-shirt,20,16,20,20,20,18,20,16,14,20,16,20,14,20,20,18,17,20,16,18,20,20,20,13,20,20,20,20,18.42857143,2.251395805,28,,
topje,top,20,17,20,20,20,18,20,20,19,20,19,20,19,20,20,20,17,20,20,20,20,20,20,20,20,20,20,19,19.57142857,0.878912267,28,,
trui,pullover,20,17,20,20,20,18,20,20,18,20,16,20,17,20,20,20,17,20,20,20,20,20,20,18,20,20,20,19,19.28571429,1.242969648,28,,
wanten,mittens,17,8,10,16,13,9,12,10,10,17,13,12,1,20,1,12,8,17,7,14,3,13,16,4,15,12,20,2,11.14285714,5.427735942,28,,
zwempak,bathing suit,18,11,10,18,17,9,13,11,4,19,9,16,2,20,1,11,4,17,2,16,8,15,16,6,13,12,20,4,11.5,5.903545702,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
